Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI,MACD,MACD_Signal,MACD_Hist
1982-04-26,0.28125,0.2834821343421936,0.28125,0.28125,0.2228455245494842,14481600,0.2975446477532387,0.3033928596973419,0.2920554177397652,0.304744820975604,41.59485860076285,-0.0069617053248988,-0.0050464233598005,-0.0022428023949423
1982-04-27,0.2745535671710968,0.2745535671710968,0.2723214328289032,0.2723214328289032,0.2157710343599319,17567200,0.2963169693946838,0.3021428596973419,0.2901759906053973,0.3034733155580864,37.4497033231666,-0.0076540984220484,-0.0056286470194943,-0.0023288946387751
1982-04-28,0.2633928656578064,0.2633928656578064,0.2611607015132904,0.2611607015132904,0.206928014755249,24808000,0.2943080395460128,0.3008035737276077,0.2874126297394824,0.3018139973602513,33.020007679432766,-0.0089996602022908,-0.0063590739151546,-0.0029217075826414
1982-04-29,0.2611607015132904,0.2633928656578064,0.2611607015132904,0.2611607015132904,0.206928014755249,20557600,0.2922991096973419,0.2993750017881393,0.2849124460988926,0.300219750464292,33.020007679432766,-0.0099513150420557,-0.0071296079273403,-0.0030821360487425
1982-04-30,0.2633928656578064,0.265625,0.2633928656578064,0.2633928656578064,0.208696573972702,69350400,0.2896205380558967,0.2979017877578735,0.2828629622473606,0.2987755589032533,34.80862923569805,-0.0104054438874138,-0.0078330249431162,-0.0028136680631036
1982-05-03,0.2723214328289032,0.2745535671710968,0.2723214328289032,0.2723214328289032,0.2157710343599319,20675200,0.2873883947730064,0.2966517877578735,0.2818590070646504,0.2977381421944553,41.534011715737535,-0.009930411910585,-0.0082971969206783,-0.0018566879102483
1982-05-04,0.28125,0.2834821343421936,0.28125,0.28125,0.2228455245494842,18496800,0.2856026798486709,0.2956696450710296,0.2818010063918265,0.2970915483829081,47.380054053378494,-0.0087328184004398,-0.0084257210165057,-0.0005140963833096
1982-05-05,0.28125,0.28125,0.2767857015132904,0.2767857015132904,0.2193082869052887,13484800,0.2837053582072258,0.2946875017881393,0.2813233583081564,0.2962952406625309,44.95938636366393,-0.0080511399637908,-0.0083891514296195,0.0001462783475447
1982-05-06,0.2857142984867096,0.2879464328289032,0.2857142984867096,0.2857142984867096,0.2263827919960022,18866400,0.2824776798486709,0.2938392877578735,0.2817415430870663,0.2958803017536752,50.41569050294012,-0.006713057783764,-0.0080894502359153,0.001198804774817
1982-05-07,0.2901785671710968,0.2924107015132904,0.2901785671710968,0.2901785671710968,0.2299199402332306,21179200,0.2813616082072258,0.2931250017881393,0.2825450691903073,0.2956567043190643,52.92831086311816,-0.0052320767187917,-0.0075508717876323,0.0021543137931317
1982-05-10,0.2879464328289032,0.2879464328289032,0.2857142984867096,0.2857142984867096,0.2263827919960022,7901600,0.2801339298486709,0.2923214304447174,0.2828469005518694,0.2952668060511288,50.18939166590629,-0.0043682631103026,-0.0069448177115533,0.0024242163043161
1982-05-11,0.2790178656578064,0.2790178656578064,0.2767857015132904,0.2767857015132904,0.2193082869052887,25754400,0.2796875,0.2912946444749832,0.2822696435005762,0.2945420568535665,45.15638056285217,-0.0043539580404452,-0.0064548634809632,0.0019598169223604
1982-05-12,0.2723214328289032,0.2723214328289032,0.2700892984867096,0.2700892984867096,0.2140024155378341,17752000,0.2787946432828903,0.2901339304447174,0.2811096106421127,0.2935831251529054,41.77297246799792,-0.0048273186056067,-0.006155487854403,0.0011975025062407
1982-05-13,0.2723214328289032,0.2745535671710968,0.2723214328289032,0.2723214328289032,0.2157710343599319,13613600,0.2777901798486709,0.2890178591012954,0.280272641326569,0.2927493332970622,43.29806627745977,-0.004965110968614,-0.0059416149680579,0.0008554915453805
1982-05-14,0.265625,0.265625,0.2611607015132904,0.2611607015132904,0.206928014755249,23934400,0.27578125,0.2878125017881393,0.2784524565824472,0.2915105634231889,37.94628658180133,-0.0059068002358211,-0.005957065920314,-6.180380902457653e-05
1982-05-17,0.2589285671710968,0.2589285671710968,0.2566964328289032,0.2566964328289032,0.2033907771110534,19051200,0.2738839283585548,0.2870089304447174,0.2763804543202049,0.2901453033998836,36.02800525445171,-0.0069334010070505,-0.0061730900887157,-0.0008640966736067
1982-05-18,0.2544642984867096,0.2544642984867096,0.2522321343421936,0.2522321343421936,0.1998535394668579,30508800,0.2724330350756645,0.2862053591012954,0.2740806143222991,0.2886585124564447,34.16785382575884,-0.008014831108725,-0.0065606608733796,-0.0015502831386555
1982-05-19,0.2522321343421936,0.2522321343421936,0.25,0.25,0.1980849504470825,18821600,0.2709821417927742,0.2853125017881393,0.2717872224820801,0.2871424923601136,33.24364832187413,-0.008948830297064,-0.0070560959792897,-0.0019817404236406
1982-05-20,0.2522321343421936,0.2544642984867096,0.2522321343421936,0.2522321343421936,0.1998535394668579,6904800,0.269866070151329,0.2845535731315612,0.2699248331354242,0.285773458712352,35.13319675832848,-0.0094005530720599,-0.0075414721553586,-0.0019415047042756
1982-05-21,0.2544642984867096,0.2566964328289032,0.2544642984867096,0.2544642984867096,0.2016221433877945,9710400,0.2688616067171097,0.2838392877578735,0.2684524012641181,0.2845456485074248,37.05203176906396,-0.0094692737409749,-0.0079422979521161,-0.0016033031870297
1982-05-24,0.2566964328289032,0.2589285671710968,0.2566964328289032,0.2566964328289032,0.2033907771110534,7996800,0.2676339283585548,0.2835267877578735,0.267332785222669,0.2834535224023848,38.99540654071728,-0.0092371407706225,-0.0082154027551789,-0.001092419212251
1982-05-25,0.2566964328289032,0.2589285671710968,0.2566964328289032,0.2566964328289032,0.2033907771110534,12891200,0.2668526783585548,0.2832589304447174,0.2663197992804056,0.2824042247720522,38.99540654071728,-0.0089500036483166,-0.0083754133440156,-0.000640042355347
1982-05-26,0.2566964328289032,0.2566964328289032,0.2544642984867096,0.2544642984867096,0.2016221433877945,10819200,0.2665178582072258,0.2830357164144516,0.2651907039667203,0.2813085413883133,37.64743835827453,-0.0088011063216899,-0.0084726737894813,-0.0003890417818627
1982-05-27,0.2522321343421936,0.2522321343421936,0.25,0.25,0.1980849504470825,7812000,0.2659598231315613,0.2829910737276077,0.2637439702556041,0.2800807554515167,35.038693136060374,-0.0089402777391222,-0.0085774194450774,-0.0004189826223844
1982-05-28,0.25,0.2522321343421936,0.25,0.25,0.1980849504470825,4799200,0.265290179848671,0.2825446450710296,0.2624350207074514,0.2789011179828298,35.03869313606036,-0.0089474316674338,-0.0086618160710714,-0.0003375865039761
1982-06-01,0.2477678507566452,0.2477678507566452,0.2455357164144516,0.2455357164144516,0.1945477426052093,11900000,0.2639508940279483,0.2815178593993186,0.2608255631557371,0.2775926708625013,32.432289010505144,-0.0092071967500872,-0.0087805171152748,-0.0004748041768133
